IDHASH,MIN_CALIF_ADMIS,MAX_CALIF_ADMIS,PROM_CALIF_ADMIS,CANT_ADMIS
003D5E4B08B4A8D2572412F2C41CDE85208A761709BF9196BB76D9F4658285D224683785A66849A2CA38880D7A06CBAEEBEE05C906754F8C6FEA2FDACAAE9AFB,14.05,14.05,14.05,1
00412FAB569B695C8C6E6AE19DC6FC8986C91F9BD0D8538E6786FFE26D998F60AAD4D2A6E3211CD5CF1B396DF8AE65B6E4ECA29479673EA9B19A989AB121CC32,4.066,4.066,4.066,1
004418DB94DAD946BB372B1F53FD939A3F4AACD61DE04EA1D3CE2499122498EC910FFC5DD92AE855CB4AF1BB03E630B18756647B599B02AE84C391DF80BE20DA,12.813,12.813,12.813,1
0045F4574B732AA9EB56A691DBA8630FCAE8CAD5383AE1096455197B95DA0972589108BC7602876E109BCBA306D9B21B63BDD4D3C1D41AD8DDF63BBA63F7E309,3.493,3.493,3.493,1
0049B811B2AC013B0AA2C9B9B7F453BCD421C0012DF17AF72CC30F94D70B1EBC771A446C04BCF3870CA947C9D0DE14F722644A8D6B5BC4DE9D153D9C56819096,3.34,4.134,3.6780000000000004,3
004DF9BB7AB90FA5A0FA86049C6B31964E428602AAC4CFE842B85A58CFE877F890D146B46FF6C6D56975D93640DA9D0362023A41EC89298ACADCCA64066D4ACB,12.693,12.693,12.693,1
004F520807B1B97210736AC7B24C4FE1FD1FB3D595FEF3545D5E8EDEBAC4F2D181D7553FE65642F8ACC3A067C80A62B8D8EC01E2762A026C9530A434C2122BD5,13.79,13.79,13.79,1
00519E8389DD88118323D8E4E0BD561EB14A65472D8C63DFF154DB37C0E31CAAB10C394EAA87BAC86A43A1558F896F2A8500D7CF57C8BA467BED4D30960B802C,4.062,5.554,4.808,2
00568B685BB545354EA23D4D96684B4F749A84A8E6554095805E7AB744703A4EEA8F3685A1834CDAFCF2EA90661C90DBF1D4348D6500CD5B53FF981D8B4C3984,6.978,12.864,9.92025,4
0058126218B77E1F8CB757BCFECECA6DF082D4E51F4B33C28F80B1D14A825C3E1C974EBA61BC63AE22BE213798D4B7284F2C5AF8B6F58E2CEA815196B1C6B62B,10.303,10.303,10.303,1
0059503E92F194EAB9D6AD8BA410AC0E2DBCE8C2EB285319EDD757B7B3988494BEF506B4AF186E69FB3F2C59F7EF4DB3651C2EB283687266B5C273282436B130,5.824,7.033,6.4285,2
