IDHASH,MIN_CALIF_CEPRE,MAX_CALIF_CEPRE,PROM_CALIF_CEPRE,CANT_CEPRE
0068363A6E3DEC33369C16F0ACF2F62EFA42528A8FF8A42744B487421E4085583F06D7C8A853D2E35773F81C3583C8093C5F33564419E7039ABF6EABF9226662,10.801,16.244,13.932599999999999,5
006BE049E7A6B28714F4835C1DAA67CE2CAB392AE046159A10FE81A9DF9C6610EAFEA28409D69447354F47FDFDCF2EDC342E4BB75985FC32E3F73E45F77CE29D,3.432,3.432,3.432,1
0074A7096140D6F2DD748CE541582EA5FE7A3DD1A0880B996BEE0329E70EEA692DD8EF8EE663E96E8AF98BFF40220240F62F259AD8D6A2A0164C57FB86197E06,9.481,10.226,9.8535,2
0077F6974B1D7E37A67A3CB3BEAE0BA121E42B40F3765DCAB21A6AD43FD26D093F21AB3B237A9767398B3E7CE58A1AF5B78C0EBE64DAD5A5472BA8A479DFD616,11.403,14.332,12.502,3
0083620020A44A5CF88CD177DB6F554C6DDB0831ABAC2104B8E80E1102AF89E32065F3D7F776158AD0C2D6CF8B6901691E81B3809558136566B720D3CEFA62A6,1.529,1.529,1.529,1
008514027D1636B6FD1632D5A8864648BDB9253C3D16D825DAB8E0CF5B78893A7A3D0A50E05E733E9189B422CAB7B203DD052E7FDCE8D60A2342AA7807340776,2.824,2.824,2.824,1
008703C85FCC7C4F310385F53082E1825EDC19FAE66A4582AE329C51C504B499738B798F0BD4C5589B2109BBE5E438E9C8C5A5D6AED717D415CF00AD1E2F7418,14.08,14.08,14.08,1
008942E502808FB7EC8B7D00234954A4DB227E50C2501187BED60C913DBABBA132282FE201A8792750406D185615FC5F4B729E4A4757CF8BFE7BD7ED9A29028C,13.312,13.312,13.312,1
008D770251024BBD96851B025DFE863D5EB4B54B011F73F9DBA5EC252B2746201563F648F89219617C06BC32B90BD6C2F628580E4E43B618776D769959AF05BC,1.389,1.389,1.389,1
00970EF675F7FA7986D8C16160057DFAAC34B891E4CDE70F68360E42B8D16DF9EA3B019B859F7E6DD765BA63D8D81FD36F9A9DA120E95B760510683B4DC71E5B,7.877,7.877,7.877,1
009D71CF1A0F54E33B477277093337E044937A92DA5FFD0E0564D0A18FE898FDB85236431381FA800494770438D38C4F638DA0429335645885D0FA93629F213A,0.181,0.181,0.181,1
00A0713F862B503F8040B340FCD8AC371C32AA28E5973B51DF7C7FE859DCA16AD171BF4E8B7445515297B2DB3BE807DA12547A559443C4983C249AB07F58A69B,1.527,1.527,1.527,1
00A299716B83E4B0819DF0D7BF2D2D29038839C1F5537AF957CD5C0087C81E3E1DFD15677FF9BAAF71958AA1E504EDB510508D528E868716F61DD67FBFB9E7B2,7.169,7.169,7.169,1
00A318D4F4D1D9C5E255C3EBA9E988222D5D770E146224EE8FA31E57F5BFB37585985C95EA7034E0115C7E2FEF9AA733A690C845469E95C157B47F11503D4483,2.27,2.27,2.27,1
00B11D66FE49EC05048816A588EF4D2ABA5E49DDACB4F284684A70D42208596F215E6EE44FFF1EF8DA5A7AE4712CFD74B8A535D1BB65D0D912DEDD309B198357,8.972,15.229,12.1005,2
00B5CA18632823707F14EED0F5AF440A678E0B04137B370B6D2259DEBE043B4A3BA61648E12B1B52173F8830F683B1D19D3333A35FC3E8CD91A1EE7000ED463C,5.221,13.751,9.486,2
00B7343643522412E7A281BD8F7A6F3100D5AEE086F6EEC44CB6A54DDCF4857A020BE9B59450123F8C4DE890741C61F01CAC72F8A935589EA8E896016A0F908F,0.625,0.625,0.625,1
00B7C92A06813A94EFFBD1CE2B9C94162429235EF80CE584C1241CB8360457C680E2900150EDD520687F1663D03AF7B02064795CA028C751A96DE7C98A028E45,0.0,0.0,0.0,1
00B97386269A2261882BB9E3E49507BE9A33D6BA3FF34B22DF779B447B80551D813FE527344FBEF82E8A209BBE58382012C35897FB9F13B370A5A15C64580B03,0.775,0.775,0.775,1
00BE19DCCB0487E888A27738277CC99AE03F36590964E40E960B64CB36A24DF50C6B744E76EF5667AAA609AD22B1E59F81892484A07E11970912085B1E97CF46,11.852,11.852,11.852,1
00BF77440AD3C745442DD42D2280419E2EB4A0B698D0C2D2B3327A3EC514F952C71B96613C02FF05A295C984721C0A5ADFF1C352EDCC117CC7D61396D13FB796,8.585,8.585,8.585,1
00C450D07BC9CD0351998BCFCBBA6D453270FC939ED72B0972F8B130BC4DA544A1BC9BFA8522828ECC445880A1E7678308CE3C4E906BABF5FB48F793E37EAB83,5.804,5.804,5.804,1
00C793EC209B2DC2004E8EEFACDCAE5038B00034DA405ED6440BEB641F4F1B8080286522EA8F9DD240FB74DD9F9E7FE65F54EC52D0D3C0D63182FA4F677AFA7D,1.21,1.21,1.21,1
00D3189AC1730C92AF5960F8D016CF1DAF1C05FBE730A389DF6D51E3E3D1A91F73EB1AA1B03E66B8348D06F902579DB78A1BCF014FFB74DA5FBA6080CA432259,1.555,4.196,2.8754999999999997,2
00D3F43652DEFC7EAAEF5E4D977D0403165206B683F01E307F7754436AE48B7B7A13673571C2E63C19307E0B4F5CFA33A2036160EEDCDCAC7F2337386D812974,1.115,2.05,1.5825,2
00D6059FC1815B7B3119B95AC8649AC12CE97B39EEC0B0F1F72DAEA6B14787E27EA14F468ACC4AB4117FD8ED0CA5063BE8AE63CDC5B5020BE3FEA44D273C99AF,9.855,10.67,10.2625,2
00D8B1E86A3DB2387C5488DA18A0EF02BBCCA7C2E0DCCDD6D8C07845A62929A645716D1ABF139C4BD4E5A61EB845FDBEAA433F8073BCA18CD202FBF38DF87B41,0.0,0.0,0.0,1
00D916CBDE93F9D8B5D20204057974D89279B2627FFD0E4DB83C999B3BFDC42DB303A8AD377DCC6F7BD998E02B2E13CE0609C0F466B7EDB2DFD5E544881E6CCE,3.93,3.93,3.93,1
00DC2BC7E5AC9198BE79BD94DC0C64681E018EC62477D0768DD5AFC814C8CD923CDE378BD2A89CC08FB8A1DC0F4D31436A3810470D3D43483A1E4EF1C1A210AF,1.615,1.615,1.615,1
00E549D25710339D4814FB105AB160F944F31865333E649FFC37A03EAB30A650D6284CB037002160F9652E862211334D54A05DAD9215190BA46E9A2C710EADFC,13.25,13.25,13.25,1
00F06DEA695DD92B0360CC16C3681F6716D33AD7B830452B3B218121FCADF6502DC86B622779388207E78A14CCEB12DEAF37C463DDD104126F6DECDB66122D62,14.174,14.174,14.174,1
00F3648D168258F199431CF8D9D7E85DD04114BB638EBAC47A0BEC0487B9A0AAFDAC6B02AAB20B0E50DFA446103D29A1D21E6811FFE3BADBFCDDEC5B099469DB,0.0,0.244,0.122,2
00F6B1BDFEDC073B41019B1B88335183AE459A2C8F3A98B9B091BCC962039968B5694CB8B0DD485A022E993E62DC121FBE816434C842AD55E5AFC604075AB66B,2.605,2.605,2.605,1
00F7018884018AD9DF0CEA951BAD11BC0A2C43B31ABDCF7BCACCEDCB7942E602940789FA574E7B33BD677AEE3A3E5A91C4E49BDDC61F369943B82ADEAB63FF6E,14.356,15.882,15.083666666666666,3
