COLEGIO,COLEGIO_PAIS,COLEGIO_DEPA,COLEGIO_PROV,COLEGIO_DIST
2048 JOSE CARLOS MARIATEGUI,PERÚ,LIMA,LIMA METROPOLITANA,COMAS
2048 JOSE CARLOS MARIATEGUI,PERÚ,0,0,0
2050 REPUBLICA DE ARGENTINA,PERÚ,LIMA,LIMA METROPOLITANA,CARABAYLLO
20504 SAN JERONIMO,PERÚ,LIMA,BARRANCA,PATIVILCA
2053 FRANCISCO BOLOGNESI CERVANTES,PERÚ,LIMA,LIMA METROPOLITANA,INDEPENDENCIA
20542 JAVIER PEREZ DE CUELLAR,PERÚ,LIMA,HUAROCHIRÍ,CARAMPOMA
2055 PRIMERO DE ABRIL,PERÚ,LIMA,LIMA METROPOLITANA,COMAS
2055 PRIMERO DE ABRIL,PERÚ,LIMA,LIMA METROPOLITANA,COMAS
2056 JOSE GALVEZ,PERÚ,LIMA,LIMA METROPOLITANA,INDEPENDENCIA
20586 SAN FRANCISCO DE ASIS,PERÚ,LIMA,HUAROCHIRÍ,SAN DAMIAN
20607 Apostol santiago,PERÚ,LIMA,HUAROCHIRÍ,SANTIAGO DE ANCHUCAYA
2061 SAN MARTIN DE PORRES,PERÚ,LIMA,LIMA METROPOLITANA,INDEPENDENCIA
2061 SAN MARTIN DE PORRES,PERÚ,LIMA,LIMA METROPOLITANA,INDEPENDENCIA
2064 REPUBLICA FEDERAL DE ALEMANIA,PERÚ,LIMA,LIMA METROPOLITANA,PUENTE PIEDRA
2066 ALMIRANTE MIGUEL GRAU,PERÚ,LIMA,LIMA METROPOLITANA,ANCON
2066 ALMIRANTE MIGUEL GRAU,PERÚ,LIMA,LIMA METROPOLITANA,ANCON
2067 LEONCIO PRADO,PERÚ,LIMA,LIMA METROPOLITANA,PUENTE PIEDRA
2068 JOSE MARIA ARGUEDAS,PERÚ,LIMA,LIMA METROPOLITANA,PUENTE PIEDRA
2070 Nuestra Señora del Carmen,PERÚ,LIMA,LIMA METROPOLITANA,SAN MARTIN DE PORRES
2071 CESAR VALLEJO,PERÚ,LIMA,LIMA METROPOLITANA,LOS OLIVOS
2071 CESAR VALLEJO,PERÚ,0,0,0
2074 VIRGEN PEREGRINA DEL ROSARIO,PERÚ,LIMA,LIMA METROPOLITANA,SAN MARTIN DE PORRES
2074 VIRGEN PEREGRINA DEL ROSARIO,PERÚ,LIMA,LIMA METROPOLITANA,LOS OLIVOS
2076 ABRAHAM LINCOLN,PERÚ,LIMA,LIMA METROPOLITANA,PUENTE PIEDRA
