COLEGIO,COLEGIO_PAIS,COLEGIO_DEPA,COLEGIO_PROV,COLEGIO_DIST
CEBA - CARLOS WIESSE,PERÚ,LIMA,LIMA METROPOLITANA,COMAS
CEBA - CESAR VALLEJO,PERÚ,JUNÍN,TARMA,TARMA
CEBA - CIENCIAS APLICADAS ALBERT EINSTEIN,PERÚ,LIMA,LIMA METROPOLITANA,ATE
CEBA - COMERCIO 62 ALMIRANTE MIGUEL GRAU,PERÚ,LIMA,LIMA METROPOLITANA,LIMA
CEBA - CORONEL FRANCISCO BOLOGNESI,PERÚ,AREQUIPA,AREQUIPA,JOSE LUIS BUSTAMANTE Y RIVERO
CEBA - DEL PACIFICO,PERÚ,LIMA,LIMA METROPOLITANA,LOS OLIVOS
CEBA - DON FERMIN TANGUIS,PERÚ,LIMA,LIMA METROPOLITANA,SAN JUAN DE LURIGANCHO
CEBA - EL DIVINO MAESTRO,PERÚ,LIMA,LIMA METROPOLITANA,VILLA EL SALVADOR
CEBA - FEDERICO VILLARREAL,PERÚ,LIMA,LIMA METROPOLITANA,SAN JUAN DE MIRAFLORES
CEBA - FEDERICO VILLARREAL,PERÚ,LIMA,LIMA METROPOLITANA,MIRAFLORES
CEBA - FELIPE SANTIAGO ESTENOS,PERÚ,LIMA,LIMA METROPOLITANA,CHACLACAYO
CEBA - FRANCISCO BOLOGNESI CERVANTES,PERÚ,LIMA,LIMA METROPOLITANA,SAN JUAN DE LURIGANCHO
CEBA - JAVIER PRADO,PERÚ,LIMA,LIMA METROPOLITANA,SAN LUIS
CEBA - JHON DALTON,PERÚ,LIMA,LIMA METROPOLITANA,SAN JUAN DE LURIGANCHO
CEBA - JOHN F. KENNEDY,PERÚ,ICA,ICA,CHINCHA ALTA
CEBA - JORGE BASADRE GROHMANN,PERÚ,LIMA,LIMA METROPOLITANA,LOS OLIVOS
CEBA - JOSE BUENAVENTURA SEPULVEDA,PERÚ,LIMA,CAÑETE,IMPERIAL
CEBA - JOSE CAYETANO HEREDIA,PERÚ,PIURA,AYABACA,CATACAOS
CEBA - JOSE FAUSTINO SANCHEZ CARRION,PERÚ,LIMA,LIMA METROPOLITANA,LURIN
CEBA - JOSE QUIÑONES GONZALES,PERÚ,LIMA,LIMA METROPOLITANA,SAN JUAN DE MIRAFLORES
CEBA - JUAN GUERRERO QUIMPER,PERÚ,LIMA,LIMA METROPOLITANA,LIMA
CEBA - JUAN GUERRERO QUIMPER,PERÚ,LIMA,LIMA METROPOLITANA,VILLA MARIA DEL TRIUNFO
CEBA - JUAN JACOBO ROUSSEAU,PERÚ,LIMA,LIMA METROPOLITANA,LIMA
CEBA - JUVENTUD GENIAL,PERÚ,LIMA,LIMA METROPOLITANA,EL AGUSTINO
CEBA - LA CATOLICA LOS OLIVOS,PERÚ,LIMA,LIMA METROPOLITANA,LOS OLIVOS
CEBA - LA SORBONA,PERÚ,LIMA,LIMA METROPOLITANA,BREÑA
CEBA - LEONCIO PRADO,PERÚ,LIMA,LIMA METROPOLITANA,SAN JUAN DE MIRAFLORES
CEBA - LUIS ALBERTO SANCHEZ,PERÚ,LIMA,LIMA METROPOLITANA,COMAS
CEBA - MANUEL SCORZA TORRES,PERÚ,LIMA,LIMA METROPOLITANA,VILLA MARIA DEL TRIUNFO
CEBA - NICOLAS COPERNICO,PERÚ,LIMA,LIMA METROPOLITANA,LIMA
CEBA - NUESTRA SEÑORA DE MONTSERRAT,PERÚ,LIMA,LIMA METROPOLITANA,LIMA
CEBA - NUESTRA SEÑORA DEL CARMEN,PERÚ,LIMA,HUARAL,HUARAL
CEBA - NUESTRA SEÑORA DEL PERPETUO SOCORRO,PERÚ,LIMA,LIMA METROPOLITANA,ATE
CEBA - PRONOEPSA PORTUGAL,PERÚ,LIMA,LIMA METROPOLITANA,BREÑA
CEBA - REPUBLICA DE BOLIVIA,PERÚ,0,0,0
CEBA - REPUBLICA DE BOLIVIA,PERÚ,LIMA,LIMA METROPOLITANA,VILLA EL SALVADOR
CEBA - REPUBLICA DE BOLIVIA,PERÚ,0,0,0
CEBA - SAN AGUSTIN,PERÚ,LIMA,LIMA METROPOLITANA,LA MOLINA
CEBA - SAN AGUSTIN,PERÚ,LIMA,LIMA METROPOLITANA,ATE
CEBA - SAN JOSE,PERÚ,JUNÍN,JAUJA,JAUJA
CEBA - SAN JOSE,PERÚ,JUNÍN,JAUJA,JAUJA
CEBA - SAN JUDAS TADEO,PERÚ,LIMA,LIMA METROPOLITANA,SAN JUAN DE LURIGANCHO
CEBA - SANTA RITA DEL CARMEN,PERÚ,LIMA,LIMA METROPOLITANA,SAN JUAN DE LURIGANCHO
CEBA - TNTE. CRNL. PEDRO RUIZ GALLO,PERÚ,LIMA,LIMA METROPOLITANA,CHORRILLOS
CEBA - YACHAYWASI,PERÚ,CUSCO,CUSCO,WANCHAQ
CEBA 2027 JOSE MARIA ARGUEDAS,PERÚ,LIMA,LIMA METROPOLITANA,SAN MARTIN DE PORRES
CEBA Bartolome Herrera,PERÚ,LIMA,LIMA METROPOLITANA,SAN MIGUEL
CEBA FE Y ALEGRIA 07,PERÚ,LIMA,LIMA METROPOLITANA,COMAS
CEBA HONORIO DELGADO,PERÚ,LIMA,LIMA METROPOLITANA,LOS OLIVOS
Ceba José Abelardo Quiñones,PERÚ,LIMA,LIMA METROPOLITANA,ATE
CEBA Nro. 1173 JULIO C. TELLO,PERÚ,LIMA,LIMA METROPOLITANA,SAN JUAN DE LURIGANCHO
CEBA NUESTRA SEÑORA DE GUADALUPE - VENTANILLA,PERÚ,CALLAO,CALLAO,VENTANILLA
ceba pronoepsa,PERÚ,LIMA,LIMA METROPOLITANA,BREÑA
ceba ruben dario,PERÚ,LIMA,LIMA METROPOLITANA,LA VICTORIA
Ceba San Judas Tadeo,PERÚ,LIMA,LIMA METROPOLITANA,SAN JUAN DE LURIGANCHO
ceba. johannes gutenberg,PERÚ,LIMA,LIMA METROPOLITANA,LOS OLIVOS
ceba. Ramon Castilla,PERÚ,LIMA,LIMA METROPOLITANA,SAN MARTIN DE PORRES
CEBA-7008 SCIPION LLONA,PERÚ,LIMA,LIMA METROPOLITANA,MIRAFLORES
CEBA-LINCOLN DE VILLA,PERÚ,LIMA,LIMA METROPOLITANA,VILLA EL SALVADOR
CECCNA TALENTOS,PERÚ,JUNÍN,HUANCAYO,EL TAMBO
CED EL BUEN PASTOR,PERÚ,LIMA,LIMA METROPOLITANA,SAN MARTIN DE PORRES
CED EL BUEN PASTOR,PERÚ,LIMA,LIMA METROPOLITANA,LOS OLIVOS
CEGNE Celendín,PERÚ,CAJAMARCA,CHOTA,CELENDIN
CEGNE CELENDIN,PERÚ,CAJAMARCA,CHOTA,CELENDIN
CENTER,PERÚ,AYACUCHO,HUAMANGA,AYACUCHO
Centro Base San Juan,PERÚ,LIMA,LIMA METROPOLITANA,SAN JUAN DE MIRAFLORES
Centro educativo diocesano el Buen Pastor,PERÚ,LIMA,LIMA METROPOLITANA,LOS OLIVOS
CEP Diocesano El Buen Pastor,PERÚ,LIMA,LIMA METROPOLITANA,LOS OLIVOS
CEP NUESTRA SRA DE COPACABANA,PERÚ,LIMA,LIMA METROPOLITANA,RIMAC
CEP Peruano Chino Diez de Octubre,PERÚ,LIMA,LIMA METROPOLITANA,BREÑA
CEP Santa María Goretti,PERÚ,LIMA,LIMA METROPOLITANA,LA VICTORIA
CEP WINNETKA,PERÚ,LIMA,LIMA,LIMA
CEPAS,PERÚ,LA LIBERTAD,TRUJILLO,TRUJILLO
CESAR A. VALLEJO,PERÚ,LIMA,LIMA METROPOLITANA,LA VICTORIA
CESAR ABRAHAM VALLEJO,PERÚ,AYACUCHO,HUAMANGA,AYACUCHO
CESAR ABRAHAM VALLEJO,PERÚ,0,0,0
Cesar Alcides de la Cruz Delgado,PERÚ,AMAZONAS,LUYA,CAMPORREDONDO
CESAR CANEVARO,PERÚ,LIMA,LIMA METROPOLITANA,SAN JUAN DE MIRAFLORES
CESAR S,0,0,0,0
CESAR VALLEJO,PERÚ,LIMA,LIMA METROPOLITANA,RIMAC
CESAR VALLEJO,PERÚ,LIMA,HUARAL,CHANCAY
cesar vallejo,PERÚ,AYACUCHO,HUANTA,HUANTA
CESAR VALLEJO,PERÚ,LAMBAYEQUE,0,0
cesar vallejo,PERÚ,AMAZONAS,CHACHAPOYAS,MAGDALENA
CESAR VALLEJO,PERÚ,LIMA,LIMA METROPOLITANA,LIMA
CESAR VALLEJO,PERÚ,ÁNCASH,ASUNCIÓN,CHACAS
CESAR VALLEJO,PERÚ,LIMA,LIMA METROPOLITANA,COMAS
Cesar vallejo,PERÚ,HUÁNUCO,DOS DE MAYO,RIPAN
CESAR VALLEJO,PERÚ,JUNÍN,TARMA,TARMA
CESAR VALLEJO,PERÚ,LIMA,LIMA METROPOLITANA,SAN JUAN DE MIRAFLORES
CESAR VALLEJO,PERÚ,CUSCO,LA CONVENCIÓN,PICHARI
CESAR VALLEJO,PERÚ,HUÁNUCO,DOS DE MAYO,LA UNION
CESAR VALLEJO,PERÚ,HUANCAVELICA,HUANCAVELICA,HUANCAVELICA
CESAR VALLEJO,PERÚ,0,0,0
cesar vallejo,PERÚ,LIMA,LIMA METROPOLITANA,LA VICTORIA
CESAR VALLEJO,PERÚ,LIMA,LIMA METROPOLITANA,RIMAC
CESAR VALLEJO,PERÚ,LIMA,LIMA METROPOLITANA,CARABAYLLO
cesar vallejo,PERÚ,LIMA,LIMA METROPOLITANA,ATE
CESAR VALLEJO DE LAS PRADERAS,PERÚ,LIMA,LIMA METROPOLITANA,SANTA ANITA
Cesar Vallejo Mendoza,PERÚ,LIMA,LIMA METROPOLITANA,SAN MARTIN DE PORRES
cesar.a.vallejo,PERÚ,LIMA,LIMA METROPOLITANA,LA VICTORIA
CESARVALLEJO DE COMAS,PERÚ,LIMA,LIMA METROPOLITANA,COMAS
CET 34,PERÚ,LIMA,HUARAL,CHANCAY
Champagnat Maristas,PERÚ,LIMA,LIMA,SANTIAGO DE SURCO
CHARLES BUHLER,PERÚ,LIMA,LIMA METROPOLITANA,SAN MARTIN DE PORRES
CHINCHAYSUYO,PERÚ,JUNÍN,HUANCAYO,SAPALLANGA
CHOROBAMBA,PERÚ,CAJAMARCA,CELENDÍN,CACHACHI
Christian Barnard,PERÚ,LIMA,LIMA METROPOLITANA,LOS OLIVOS
CHRISTIAN BARNARD DE TAHUANTINSUYO,PERÚ,LIMA,LIMA METROPOLITANA,INDEPENDENCIA
christian barnard de tahuantinsuyo,PERÚ,LIMA,LIMA METROPOLITANA,LIMA
Christian Barnard de Tahuantisuyo,PERÚ,LIMA,LIMA METROPOLITANA,INDEPENDENCIA
Christian Barnard de Villa,PERÚ,LIMA,LIMA METROPOLITANA,VILLA MARIA DEL TRIUNFO
CHRISTIAN BARNARD DE VIPOL,PERÚ,LIMA,LIMA METROPOLITANA,SAN MARTIN DE PORRES
CIBER UNI DE LOS JAZMINES,PERÚ,LIMA,LIMA METROPOLITANA,SAN JUAN DE LURIGANCHO
Cibert Uni,PERÚ,LIMA,LIMA METROPOLITANA,ATE
CIBERT UNI,PERÚ,LIMA,LIMA METROPOLITANA,ATE
CIBERT UNI DE ATE VITARTE,PERÚ,LIMA,LIMA METROPOLITANA,ATE
CIBERT- UNI DE ATE VITARTE,PERÚ,LIMA,LIMA METROPOLITANA,ATE
CIBERT- UNI DE ATE VITARTE,PERÚ,LIMA,LIMA METROPOLITANA,ATE
CIBERT UNI DE SAN JUAN DE LURIGANCHO,PERÚ,LIMA,LIMA METROPOLITANA,SAN JUAN DE LURIGANCHO
CIBERT VITARTE,PERÚ,LIMA,LIMA METROPOLITANA,ATE
Ciencia y Tecnología,PERÚ,CAJAMARCA,CAJABAMBA,CAJAMARCA
CIENCIA Y TECNOLOGIA,PERÚ,CAJAMARCA,CAJABAMBA,CAJAMARCA
CIENCIAS,PERÚ,APURÍMAC,ABANCAY,ABANCAY
CIENCIAS,PERÚ,HUÁNUCO,LEONCIO PRADO,RUPA-RUPA
CIENCIAS,PERÚ,SAN MARTÍN,SAN MARTÍN,TARAPOTO
Ciencias,PERÚ,LIMA,LIMA METROPOLITANA,SAN JUAN DE LURIGANCHO
CIENCIAS,PERÚ,LIMA,LIMA METROPOLITANA,VILLA EL SALVADOR
CIENCIAS NEWTON,PERÚ,LIMA,LIMA METROPOLITANA,SAN MARTIN DE PORRES
CIENCIAS NEWTON,PERÚ,LIMA,LIMA METROPOLITANA,LOS OLIVOS
CIENCIAS SIGLO XXI,PERÚ,LIMA,LIMA METROPOLITANA,PUENTE PIEDRA
CIENCIAS Y HUMANIDADES,PERÚ,JUNÍN,YAULI,LA OROYA
Científica,PERÚ,JUNÍN,HUANCAYO,HUANCAYO
CIENTIFICA,PERÚ,JUNÍN,HUANCAYO,CHILCA
CIENTIFICA,PERÚ,JUNÍN,HUANCAYO,HUANCAYO
CIENTIFICO ALEXANDER DIEDRICH VON HUMBOLDT,PERÚ,LIMA,LIMA METROPOLITANA,SAN JUAN DE MIRAFLORES
CIENTIFICO DEL NORTE,PERÚ,LIMA,LIMA METROPOLITANA,COMAS
CIENTIFICO ISAAC NEWTON,PERÚ,LIMA,LIMA METROPOLITANA,ATE
CIENTIFICO MATEMATICO CIRCULO GALOIS,PERÚ,LIMA,LIMA METROPOLITANA,ATE
CIMA,PERÚ,LAMBAYEQUE,CHICLAYO,LA VICTORIA
CIMA,PERÚ,LAMBAYEQUE,CHICLAYO,CHICLAYO
CIMA,PERÚ,TACNA,TACNA,TACNA
CIMA,PERÚ,LAMBAYEQUE,CHICLAYO,LA VICTORIA
CIMA,PERÚ,0,0,0
CIRCULO DE INGENIERIA,PERÚ,LIMA,LIMA METROPOLITANA,SAN MARTIN DE PORRES
CIRCULO INGENIERIA,PERÚ,LIMA,LIMA METROPOLITANA,LOS OLIVOS
CIRCULO INGENIERIA,PERÚ,LIMA,LIMA METROPOLITANA,SAN MARTIN DE PORRES
CIRCULO INGENIERIA - HUANDOY,PERÚ,LIMA,LIMA METROPOLITANA,LOS OLIVOS
CIRCULO INGENIERIA - HUANDOY,PERÚ,LIMA,LIMA METROPOLITANA,LOS OLIVOS
CIRCULO INGENIERIA - HUANDOY,PERÚ,LIMA,LIMA METROPOLITANA,SAN MARTIN DE PORRES
CIRCULO INGENIERIA SCHOOL,PERÚ,LIMA,LIMA METROPOLITANA,INDEPENDENCIA
CIRCULO UNI DE COMAS,PERÚ,LIMA,LIMA METROPOLITANA,COMAS
CIRO ALEGRIA,PERÚ,CAJAMARCA,SAN IGNACIO,SANTA ROSA
CIRO ALEGRIA,PERÚ,0,0,0
ciro alegria,PERÚ,CALLAO,CALLAO,CALLAO
CIRO ALEGRIA BAZAN,PERÚ,LA LIBERTAD,BOLÍVAR,UCUNCHA
Claper,PERÚ,LIMA,HUARAL,HUARAL
CLAPER,PERÚ,LIMA,HUARAL,HUARAL
CLARET,PERÚ,0,0,0
CLARET,PERÚ,LIMA,LIMA METROPOLITANA,SAN MIGUEL
Claretiano,PERÚ,JUNÍN,HUANCAYO,HUANCAYO
CLARETIANO,PERÚ,LIMA,LIMA METROPOLITANA,SAN MIGUEL
CLARETIANO,PERÚ,JUNÍN,HUANCAYO,HUANCAYO
CLAUDIO GALENO,PERÚ,PUNO,SAN ROMÁN,JULIACA
Claudio Galeno,PERÚ,PUNO,SAN ROMÁN,JULIACA
CLEMENTE ALTHAUS,PERÚ,LIMA,LIMA METROPOLITANA,SAN MIGUEL
CMSPP,PERÚ,LIMA,LIMA METROPOLITANA,CHACLACAYO
CMSPP - COAR LIMA,PERÚ,LIMA,LIMA METROPOLITANA,CHACLACAYO
CMSPP COAR Lima,PERÚ,LIMA,LIMA METROPOLITANA,CHACLACAYO
CN.Mx Mariscal Luzuriaga.,PERÚ,ÁNCASH,MARISCAL LUZURIAGA,PISCOBAMBA
CNA Unheval,PERÚ,HUÁNUCO,HUÁNUCO,AMARILIS
CNI IMPERIAL-CAÑETE,PERÚ,LIMA,CAÑETE,IMPERIAL
COAR,PERÚ,HUANCAVELICA,HUANCAVELICA,HUANCAVELICA
COAR AMAZONAS,PERÚ,AMAZONAS,CHACHAPOYAS,CHACHAPOYAS
COAR ANCASH,PERÚ,ÁNCASH,RECUAY,CATAC
COAR APURIMAC,PERÚ,APURÍMAC,AYMARAES,CHALHUANCA
COAR AREQUIPA,PERÚ,AREQUIPA,AREQUIPA,PAUCARPATA
COAR AYACUCHO,PERÚ,AYACUCHO,HUAMANGA,AYACUCHO
Coar Ayacucho,PERÚ,AYACUCHO,HUAMANGA,CARMEN ALTO
COAR CAJAMARCA,PERÚ,CAJAMARCA,CAJABAMBA,JESUS
COAR CUSCO,PERÚ,CUSCO,ANTA,PUCYURA
COAR HUANCAVELICA,PERÚ,HUANCAVELICA,HUANCAVELICA,HUANCAVELICA
COAR Huanuco,PERÚ,HUÁNUCO,HUÁNUCO,HUANUCO
COAR ICA,PERÚ,ICA,NAZCA,NAZCA
COAR ICA,PERÚ,ICA,PISCO,PISCO
COAR ICA,PERÚ,ICA,CHINCHA,ICA
COAR ICA,PERÚ,ICA,NAZCA,NAZCA
COAR JUNIN,PERÚ,JUNÍN,HUANCAYO,CHONGOS ALTO
COAR JUNIN,PERÚ,JUNÍN,CHUPACA,CHONGOS BAJO
COAR LAMBAYEQUE,PERÚ,LAMBAYEQUE,CHICLAYO,CHICLAYO
COAR LIMA,PERÚ,LIMA,LIMA METROPOLITANA,CHACLACAYO
COAR LIMA PROVINCIAS,PERÚ,LIMA,HUAURA,SANTA MARIA
COAR LIMA PROVINCIAS,PERÚ,LIMA,LIMA METROPOLITANA,SAN JUAN DE LURIGANCHO
COAR LORETO,PERÚ,LORETO,MAYNAS,IQUITOS
COAR MOQUEGUA,PERÚ,MOQUEGUA,MARISCAL NIETO,MOQUEGUA
COAR PASCO,PERÚ,PASCO,DANIEL ALCIDES CARRIÓN,CHONTABAMBA
COAR PASCO,PERÚ,PASCO,DANIEL ALCIDES CARRIÓN,CHONTABAMBA
COAR San Martín,PERÚ,SAN MARTÍN,MOYOBAMBA,MOYOBAMBA
COAR SAN MARTIN,PERÚ,SAN MARTÍN,MOYOBAMBA,MOYOBAMBA
COAR SAN MARTIN,PERÚ,0,0,0
COAR TACNA,PERÚ,TACNA,TACNA,TACNA
COAR TACNA,PERÚ,TACNA,TACNA,TACNA
Colegio 1230 - Viña Alta La Molina,PERÚ,LIMA,LIMA METROPOLITANA,LA MOLINA
COLEGIO ACADEMIA ROMA,PERÚ,LIMA,LIMA,SAN MARTIN DE PORRES
COLEGIO ADVENTISTA HUEPETUHE,PERÚ,MADRE DE DIOS,MANU,HUEPETUHE
Colegio Adventista Miraflores,PERÚ,LIMA,LIMA METROPOLITANA,MIRAFLORES
Colegio Alfonso Ugarte,PERÚ,LIMA,LIMA,SAN ISIDRO
COLEGIO ALGARROBOS,PERÚ,LIMA,LIMA METROPOLITANA,SAN JUAN DE LURIGANCHO
COLEGIO ALGARROBOS,PERÚ,LAMBAYEQUE,CHICLAYO,PIMENTEL
Colegio Alpamayo,PERÚ,LIMA,LIMA METROPOLITANA,ATE
COLEGIO AMERICA DEL CALLAO,PERÚ,CALLAO,CALLAO,BELLAVISTA
Colegio Belen,PERÚ,LIMA,LIMA METROPOLITANA,ATE
Colegio Bertolt Brecht,PERÚ,LIMA,LIMA METROPOLITANA,CARABAYLLO
colegio católico Padre Champagnat,PERÚ,LIMA,LIMA METROPOLITANA,LOS OLIVOS
COLEGIO CIENTIFICO NIKOLA TESLA,PERÚ,LIMA,LIMA METROPOLITANA,VILLA MARIA DEL TRIUNFO
COLEGIO CIENTIFICO NIKOLA TESLA,PERÚ,LIMA,LIMA,VILLA MARIA DEL TRIUNFO
COLEGIO CIENTIFICO PARA NIÑOS CON ALTAS CAPACIDADES,PERÚ,HUÁNUCO,HUÁNUCO,HUANUCO
COLEGIO CRISTIANO JESUS MI REDENTOR,PERÚ,LIMA,LIMA METROPOLITANA,VILLA MARIA DEL TRIUNFO
Colegio de Alto Rendimiento Amazonas,PERÚ,AMAZONAS,CHACHAPOYAS,CHACHAPOYAS
Colegio de Alto Rendimiento de Ayacucho,PERÚ,AYACUCHO,HUAMANGA,AYACUCHO
Colegio de Aplicacion - La Cantuta,PERÚ,LIMA,LIMA METROPOLITANA,SAN JUAN DE LURIGANCHO
Colegio de Ciencias Cramer,PERÚ,JUNÍN,SATIPO,SATIPO
COLEGIO FE Y ALEGRIA,PERÚ,ICA,PISCO,SAN CLEMENTE
Colegio Honores,PERÚ,LIMA,LIMA,LIMA
Colegio Ingeniería,PERÚ,JUNÍN,HUANCAYO,EL TAMBO
Colegio Ingeniería,PERÚ,LIMA,LIMA METROPOLITANA,COMAS
Colegio Italiano Antonio Raimondi,PERÚ,LIMA,LIMA METROPOLITANA,LA MOLINA
COLEGIO JORGE BASADRE,PERÚ,LAMBAYEQUE,CHICLAYO,CHICLAYO
Colegio Juan Croniqueur- APPU,PERÚ,LIMA,LIMA METROPOLITANA,EL AGUSTINO
Colegio Latino,PERÚ,JUNÍN,CHUPACA,CHUPACA
Colegio Los Ingenieros,PERÚ,ICA,ICA,CHINCHA ALTA
Colegio María de las Mercedes,PERÚ,LIMA,LIMA METROPOLITANA,MIRAFLORES
Colegio Matemático Santísima María,PERÚ,LIMA,LIMA METROPOLITANA,CHORRILLOS
Colegio Matematico Cadillo,PERÚ,LIMA,LIMA METROPOLITANA,SAN MARTIN DE PORRES
colegio matematico catolico san juan,PERÚ,LIMA,LIMA METROPOLITANA,SAN JUAN DE LURIGANCHO
COLEGIO MATEMATICO HONORES,PERÚ,LIMA,LIMA METROPOLITANA,BREÑA
COLEGIO MATEMATICO HONORES,PERÚ,LIMA,LIMA METROPOLITANA,LOS OLIVOS
Colegio mayor Jose del Carmen Marin,PERÚ,AMAZONAS,CHACHAPOYAS,CHACHAPOYAS
COLEGIO MAYOR MENDEL,PERÚ,AREQUIPA,AREQUIPA,AREQUIPA
COLEGIO MAYOR MENDEL,PERÚ,AREQUIPA,AREQUIPA,AREQUIPA
Colegio Mayor Presidente del Perú - COAR LIMA,PERÚ,LIMA,LIMA METROPOLITANA,CHACLACAYO
Colegio Mayor Secundario Presidente del Perú,PERÚ,LIMA,LIMA METROPOLITANA,CHACLACAYO
Colegio mayor secundario presidente del Perú,PERÚ,LIMA,LIMA METROPOLITANA,SAN JUAN DE LURIGANCHO
COLEGIO MAYOR SECUNDARIO PRESIDENTE DEL PERÚ,PERÚ,LIMA,LIMA METROPOLITANA,CHACLACAYO
COLEGIO MAYOR SECUNDARIO PRESIDENTE DEL PERU,PERÚ,LIMA,LIMA METROPOLITANA,CHACLACAYO
COLEGIO MAYOR SECUNDARIO PRESIDENTE DEL PERU,PERÚ,LIMA,LIMA METROPOLITANA,SAN JUAN DE LURIGANCHO
COLEGIO MAYOR SECUNDARIO PRESIDENTE DEL PERU,PERÚ,LIMA,LIMA METROPOLITANA,SAN JUAN DE LURIGANCHO
COLEGIO MAYOR SECUNDARIO PRESIDENTE DEL PERU,PERÚ,LIMA,LIMA METROPOLITANA,CHACLACAYO
Colegio Mayor Sistema San Marcos,PERÚ,LIMA,LIMA METROPOLITANA,LOS OLIVOS
COLEGIO MAYOR SISTEMA SAN MARCOS,PERÚ,LIMA,LIMA METROPOLITANA,SANTA ANITA
COLEGIO MAYOR SISTEMA SAN MARCOS,PERÚ,0,0,0
COLEGIO MAYOR SISTEMA SAN MARCOS,PERÚ,LIMA,0,0
Colegio Mayor Sistema San Marcos,PERÚ,LIMA,LIMA METROPOLITANA,ATE
COLEGIO MAYOR SISTEMA SAN MARCOS,PERÚ,LIMA,LIMA METROPOLITANA,COMAS
COLEGIO MAYOR SISTEMA SAN MARCOS,PERÚ,LIMA,LIMA METROPOLITANA,LOS OLIVOS
COLEGIO MILITAR FRANCISCO BOLOGNESI,PERÚ,AREQUIPA,AREQUIPA,ALTO SELVA ALEGRE
Colegio Militar Leoncio Prado,PERÚ,CALLAO,CALLAO,LA PERLA
COLEGIO NACIONAL,PERÚ,HUÁNUCO,HUACAYBAMBA,PINRA
Colegio nacional 5149,PERÚ,CALLAO,CALLAO,VENTANILLA
Colegio Nacional 9 de Diciembre,PERÚ,AYACUCHO,PARINACOCHAS,CORACORA
Colegio nacional aplicacion unheval,PERÚ,HUÁNUCO,HUÁNUCO,AMARILIS
colegio nacional de imperial,PERÚ,LIMA,CAÑETE,IMPERIAL
Colegio Nacional de Varones,PERÚ,LIMA,LIMA METROPOLITANA,ATE
COLEGIO NACIONAL EMBLEMÁTICO SAN JUAN,PERÚ,LA LIBERTAD,TRUJILLO,TRUJILLO
COLEGIO NACIONAL ESTADOS UNIDOS DE COMAS,PERÚ,LIMA,LIMA METROPOLITANA,COMAS
COLEGIO NACIONAL LEONCIO PRADO 3014,PERÚ,LIMA,LIMA METROPOLITANA,RIMAC
Colegio Nacional Mixto Huaycan,PERÚ,LIMA,LIMA METROPOLITANA,ATE
COLEGIO NACIONAL MIXTO HUAYCAN,PERÚ,LIMA,LIMA METROPOLITANA,ATE
Colegio Nacional Stella Maris,PERÚ,LIMA,LIMA METROPOLITANA,VILLA MARIA DEL TRIUNFO
COLEGIO NACIONAL VITARTE,PERÚ,LIMA,LIMA METROPOLITANA,ATE
COLEGIO NACIONAL VITARTE,PERÚ,LIMA,LIMA METROPOLITANA,ATE
COLEGIO Nº1218 SAN LUIS MARIA DE MONTFORT,PERÚ,LIMA,LIMA METROPOLITANA,CHACLACAYO
COLEGIO PAMER LA LIBERTAD,PERÚ,LIMA,LIMA METROPOLITANA,SAN MIGUEL
COLEGIO PAMER LA LIBERTAD,PERÚ,LIMA,LIMA METROPOLITANA,SAN MIGUEL
COLEGIO PARROQUIAL NUESTRA SEÑORA DEL SAGRADO CORAZON DE JESUS,PERÚ,ÁNCASH,HUARAZ,INDEPENDENCIA
COLEGIO PARROQUIAL NUESTRA SEÑORA DEL SAGRADO CORAZON DE JESUS,PERÚ,ÁNCASH,HUARAZ,INDEPENDENCIA
Colegio parroquial Nuestra señora del rosario,PERÚ,LIMA,LIMA METROPOLITANA,INDEPENDENCIA
COLEGIO PARROQUIAL PADRE ABAD,PERÚ,HUÁNUCO,LEONCIO PRADO,RUPA-RUPA
Colegio Parroquial San Antonio de Huamanga,PERÚ,AYACUCHO,HUAMANGA,HUAMANGA
COLEGIO PARROQUIAL SANTA CRUZ,PERÚ,CALLAO,CALLAO,CALLAO
Colegio Particular Ingeniería,PERÚ,JUNÍN,HUANCAYO,EL TAMBO
COLEGIO PARTICULAR SAN AGUSTIN,PERÚ,LORETO,MAYNAS,IQUITOS
COLEGIO PARTICULAR SANTIAGO APOSTOL,PERÚ,LIMA,LIMA METROPOLITANA,ATE
Colegio Patrón San Isidro,PERÚ,LIMA,LIMA METROPOLITANA,ATE
COLEGIO PERUANO CHINO,PERÚ,0,0,0
Colegio Peruano Chino 10 de Octubre,PERÚ,LIMA,LIMA METROPOLITANA,BREÑA
colegio peruano español,PERÚ,LAMBAYEQUE,CHICLAYO,CHICLAYO
COLEGIO PITAGORAS,PERÚ,LIMA,LIMA METROPOLITANA,SAN MARTIN DE PORRES
colegio pitagoras,PERÚ,LIMA,LIMA METROPOLITANA,LOS OLIVOS
Colegio Privado César Vallejo,PERÚ,LIMA,LIMA METROPOLITANA,SAN MARTIN DE PORRES
Colegio Roma,PERÚ,LIMA,LIMA METROPOLITANA,SAN MARTIN DE PORRES
COLEGIO SACO OLIVEROS,PERÚ,LIMA,LIMA METROPOLITANA,LOS OLIVOS
COLEGIO SACO OLIVEROS,PERÚ,LIMA,LIMA METROPOLITANA,SAN LUIS
Colegio Salesiano San Francisco de Sales,PERÚ,LIMA,LIMA METROPOLITANA,BREÑA
